Empreendimento,Sede,Área,Ente Responsável,Status na Copa (2014),Status em 2022,Início das obras,Fim das obras,Orçamento Inicial (2010),Orçamento na Copa (12/2014),Investimento (1/2022),Banco Financiador,Valor do Financiamento,Contrato Financiamento
Reforma e ampliação do Terminal de Passageiros,Porto Alegre,Aeroportos,Fraport Brasil,Entregue,Concluído,,11/2019,"345,80","59,00","1.800,00",,,
Ampliação da Pista de Pouso e Decolagem,Porto Alegre,Aeroportos,Fraport Brasil,Entregue,Concluído,2/2013,5/2022,,"23,80","135,00",,,
Construção do Módulo Operacional (MOP),Porto Alegre,Aeroportos,Governo Federal,Concluído,Concluído,5/2011,1/2012,,"5,00","5,00",,,
Construção de Nova Torre de Controle,Recife,Aeroportos,Governo Federal,Retirado,Retirado,,,"19,80",,,,,
Recuperação e Revitalização dos Sistemas de Pistas e Pátios,Rio de Janeiro,Aeroportos,Governo Federal,Entregue,Concluído,10/2011,3/2014,,"139,10","85,10",,,
Reforma do Terminal de Passageiros 1,Rio de Janeiro,Aeroportos,Governo Federal e RIOGaleão,Entregue,Concluído,9/2008,6/2014,"301,10","115,90","2.000,00",,,
Conclusão da Reforma do Terminal de Passageiros 2,Rio de Janeiro,Aeroportos,Governo Federal,Entregue,Concluído,11/2008,5/2014,"386,20","188,70","142,74",,,
Reforma e Adequação do Terminal de Passageiros,Salvador,Aeroportos,Governo Federal,Entregue,Entregue,1/2013,,"30,00","79,20","79,20",,,
Ampliação do Pátio de Aeronaves,Salvador,Aeroportos,Governo Federal,Concluído,Concluído,9/2012,9/2013,"15,10","17,60","17,56",,,
Construção de Torre de Controle,Salvador,Aeroportos,Governo Federal,Não Entregue,Concluído,6/2012,5/2016,,"16,10","16,00",,,
"Guarulhos - Concessão para ampliação, manutenção e exploração do Aeroporto Internacional de Guarulhos",São Paulo,Aeroportos,Governo Federal,Entregue,Concluído,12/2012,,,1420,1420,,,
"Viracopos - Concessão para ampliação, manutenção e exploração do Aeroporto Internacional de Viracopos",São Paulo,Aeroportos,Governo Federal,Entregue,Concluído,12/2012,12/2016,,"1.180,00","1.880,00",,,
Guarulhos - Construção do Terminal de Passageiros 3,São Paulo,Aeroportos,Governo Federal,Concluído,Concluído,5/2011,11/2012,"716,60","235,50","235,50",,,
Guarulhos - Ampliação e revitalização do sistema de pistas e pátios,São Paulo,Aeroportos,Governo Federal,Concluído,Concluído,5/2010,12/2011,"427,10","183,50","183,50",,,
Guarulhos - Construção do Terminal Remoto 4 (Fases 1 e 2),São Paulo,Aeroportos,Governo Federal,Concluído,Concluído,7/2011,1/2012,,"83,70","83,70",,,
Viracopos - Construção do Módulo Operacional (MOP),São Paulo,Aeroportos,Governo Federal,Concluído,Concluído,10/2010,8/2011,"5,00","4,90","4,90",,,
Guarulhos - Construção do Módulo Operacional 1 (MOP 1),São Paulo,Aeroportos,Governo Federal,Alterado,Alterado,,,"32,50",,,,,
Guarulhos - Construção do Módulo Operacional 2 (MOP 2),São Paulo,Aeroportos,Governo Federal,Alterado,Alterado,,,"23,20",,,,,
Guarulhos - Construção do Módulo Operacional,São Paulo,Aeroportos,Governo Federal,Abandonado,Abandonado,,,,,,,,
Guarulhos - Construção de pista de táxi e saída rápida,São Paulo,Aeroportos,Governo Federal,Alterado,Alterado,,,"20,00",,,,,
Viracopos - Adequação do terminal de passageiros existente,São Paulo,Aeroportos,Governo Federal,Alterado,Alterado,,,"47,40",,,,,
Viracopos - Construção do novo terminal de passageiros e pátio,São Paulo,Aeroportos,Governo Federal,Alterado,Alterado,,,"689,60",,,,,
Obras de transmissão e distribuição de energia,Todas,Energia,Governo Federal e Concessionárias,Entregue,Entregue,10/2011,7/2014,,1.700,,,,
Reforma do Estádio Mineirão,Belo Horizonte,Estádios,Minas Arena,Concluído,Concluído,1/2010,12/2012,"683,60",695,695,BNDES,"400,00",11208161
Reconstrução do Estádio Mané Garrincha,Brasília,Estádios,Governo Distrito Federal,Concluído,Concluído,7/2010,6/2013,"701,90","1403,3","1403,3",,,
Construção Arena Pantanal,Cuiabá,Estádios,Governo Mato Grosso,Concluído,Concluído,5/2010,4/2014,"596,70","596,4","596,4",BNDES,"337,90",10215961
Reforma da Arena da Baixada,Curitiba,Estádios,Athletico-PR,Concluído,Concluído,10/2011,5/2014,"184,60","391,5","391,5",BNDES,"131,10",12208521
Reforma do Castelão,Fortaleza,Estádios,Governo Ceará,Concluído,Concluído,12/2010,12/2012,"452,00","518,6","570,7",BNDES,"351,60",10217011
Construção da Arena da Amazônia,Manaus,Estádios,Governo Amazonas,Concluído,Concluído,7/2010,3/2014,"533,00","660,5","660,5",BNDES,"400,00",10217341
Construção da Arena das Dunas,Natal,Estádios,Arena das Dunas,Concluído,Concluído,8/2011,1/2014,"413,00",400,400,BNDES,"396,60",11208431
Reforma do Estádio Beira-Rio,Porto Alegre,Estádios,Internacional,Concluído,Concluído,8/2010,2/2014,"154,00","366,3","366,3",BNDES,"275,10",12213821 e 12213832
Construção da Arena Pernambuco,Recife,Estádios,Governo Pernambuco,Concluído,Concluído,1/2011,5/2013,"491,10","532,6","532,6",BNDES,"400,00",11202691
Reforma do Maracanã,Rio de Janeiro,Estádios,Governo Rio de Janeiro,Concluído,Concluído,9/2010,5/2013,"828,00",1050,1050,BNDES,"400,00",10217631
Construção da Arena Fonte Nova,Salvador,Estádios,Governo Bahia,Concluído,Concluído,6/2010,3/2013,"591,70","689,4","689,4",BNDES,"323,60",10216821
Construção da Arena Corinthians,São Paulo,Estádios,Corinthians,Concluído,Concluído,5/2011,4/2014,,1080,1080,BNDES/CAIXA,"400,00",12206911
Construção de instalações complementares - Copa das Confederações,Belo Horizonte,Instalações Complementares,Governo Minas Gerais,Concluído,Concluído,6/2013,7/2013,,"38,3","38,3",,,
Construção de instalações complementares,Belo Horizonte,Instalações Complementares,Governo Minas Gerais,Concluído,Concluído,6/2014,7/2014,,"37,00","37,00",,,
Construção de instalações complementares,Brasília,Instalações Complementares,Governo Distrito Federal,Concluído,Concluído,6/2014,7/2014,,"28,40","28,40",,,
Construção de instalações complementares - Copa das Confederações,Brasília,Instalações Complementares,Governo Distrito Federal,Concluído,Concluído,6/2013,7/2013,,27,27,,,
Construção de instalações complementares,Cuiabá,Instalações Complementares,Governo Mato Grosso,Concluído,Concluído,6/2014,7/2014,,"35,50","35,50",,,
Construção de instalações complementares,Curitiba,Instalações Complementares,Prefeitura Curitiba,Concluído,Concluído,6/2014,7/2014,,"26,00","26,00",,,
Construção de instalações complementares - Copa das Confederações,Fortaleza,Instalações Complementares,Governo Ceará,Concluído,Concluído,6/2013,7/2013,,"27,4","27,4",,,
Construção de instalações complementares,Fortaleza,Instalações Complementares,Governo Ceará,Concluído,Concluído,6/2014,7/2014,,"27,10","27,10",,,
Construção de instalações complementares,Manaus,Instalações Complementares,Governo Amazonas,Concluído,Concluído,6/2014,7/2014,,"123,60","123,60",,,
Construção de instalações complementares,Natal,Instalações Complementares,Governo Rio Grande do Norte,Concluído,Concluído,6/2014,7/2014,,"30,70","30,70",,,
Construção de instalações complementares,Porto Alegre,Instalações Complementares,Governo Rio Grande do Sul,Concluído,Concluído,6/2014,7/2014,,"25,00","25,00",,,
Construção de instalações complementares - Copa das Confederações,Recife,Instalações Complementares,Governo Pernambuco,Concluído,Concluído,6/2013,7/2013,,"35,70","35,70",,,
Construção de instalações complementares,Recife,Instalações Complementares,Governo Pernambuco,Concluído,Concluído,6/2014,7/2014,,"33,90","33,90",,,
Construção de instalações complementares,Rio de Janeiro,Instalações Complementares,Governo Rio de Janeiro,Concluído,Concluído,6/2014,7/2014,,"66,00","66,00",,,
Construção de instalações complementares - Copa das Confederações,Rio de Janeiro,Instalações Complementares,Governo Rio de Janeiro,Concluído,Concluído,6/2013,7/2013,,"37,70","37,70",,,
Construção de instalações complementares,Salvador,Instalações Complementares,Governo Bahia,Concluído,Concluído,6/2014,7/2014,,"37,00","37,00",,,
Construção de instalações complementares - Copa das Confederações,Salvador,Instalações Complementares,Governo Bahia,Concluído,Concluído,6/2013,7/2013,,34,34,,,
Construção de instalações complementares,São Paulo,Instalações Complementares,Corinthians,Concluído,Concluído,6/2014,7/2014,,"107,90","107,90",,,
BRT Antônio Carlos/ Pedro I,Belo Horizonte,Mobilidade Urbana,Prefeitura Belo Horizonte,Entregue,Concluído,6/2010,12/2019,"588,20","726,4","709,3",CAIXA,"382,25",318.926-13
Boulevard Arrudas – Tereza Cristina,Belo Horizonte,Mobilidade Urbana,Prefeitura Belo Horizonte,Concluído,Concluído,6/2010,8/2013,"221,10","233,4","233,3",CAIXA,"210,00",318.936-38
Corredor Pedro II e Obras Complementares nos BRTs Antonio Carlos/Pedro I e Cristiano Machado,Belo Horizonte,Mobilidade Urbana,Prefeitura Belo Horizonte,Entregue,Concluído,4/2012,12/2016,"233,50","161,6","158,7",CAIXA,"146,00",318.928-31
Via 210 (Ligação Via Minério/Tereza Cristina),Belo Horizonte,Mobilidade Urbana,Prefeitura Belo Horizonte,Concluído,Concluído,9/2011,2/2016,"106,20","129,6","129,6",CAIXA,"72,00",318.932-92
BRT Área Central,Belo Horizonte,Mobilidade Urbana,Prefeitura Belo Horizonte,Concluído,Concluído,3/2012,3/2014,"57,90","75,5","74,4",CAIXA,"55,00",318.929-45
BRT Cristiano Machado,Belo Horizonte,Mobilidade Urbana,Prefeitura Belo Horizonte,Entregue,Concluído,9/2011,2/2016,"52,60","55,3","54,9",CAIXA,"49,90",318.935-24
Expansão da Central de Controle de Tráfego,Belo Horizonte,Mobilidade Urbana,Prefeitura Belo Horizonte,Concluído,Concluído,6/2011,7/2015,"31,60","31,6","30,9",CAIXA,"29,30",318.931-88
Via 710 (Andradas – Cristiano Machado),Belo Horizonte,Mobilidade Urbana,Prefeitura Belo Horizonte,Retirado,Retirado,4/2012,,"174,90",,,CAIXA,,
Ampliação da DF-047,Brasília,Mobilidade Urbana,Governo Distrito Federal,Entregue,Concluído,2/2013,4/2022,,"54,2","67,5",CAIXA,"64,10","31.912.988,00"
Linha 1/ Trecho 1 e Ampliação da DF-047,Brasília,Mobilidade Urbana,Governo Distrito Federal,Alterado,Alterado,,,"380,00",,,CAIXA,,
VLT Linha 1/Trecho1 (Aeroporto/Terminal Asa Sul),Brasília,Mobilidade Urbana,Governo Distrito Federal,Abandonado,Abandonado,,,,,,CAIXA,,
VLT Cuiabá-Várzea Grande,Cuiabá,Mobilidade Urbana,Governo Mato Grosso,Não Entregue,Paralisado,6/2012,,,"1577,6","1477,6",CAIXA,"1151,6",0364.021-34 e 0364.186-21
Adequação viária e obras de acessibilidade à Arena Pantanal,Cuiabá,Mobilidade Urbana,Governo Mato Grosso,Entregue,Concluído,3/2012,10/2017,,76,"84,3",BNDES,55,10215961
Corredor Mário Andreazza,Cuiabá,Mobilidade Urbana,Governo Mato Grosso,Entregue,Concluído,5/2011,9/2014,"32,60","52,90","37,10",CAIXA,"30,00",0319.628-24
BRT CPA / Aeroporto,Cuiabá,Mobilidade Urbana,Governo Mato Grosso,Abandonado,Abandonado,,,"323,90",,,CAIXA,,
BRT Coxipó / Centro,Cuiabá,Mobilidade Urbana,Governo Mato Grosso,Abandonado,Abandonado,,,"132,30",,,CAIXA,,
BRT Corredor Aeroporto – Rodoferroviária,Curitiba,Mobilidade Urbana,Prefeitura Curitiba,Entregue,Concluído,5/2012,2/2017,,"165,30","141,50",CAIXA,"62,50",0319.119-63
Sistema Integrado de Monitoramento,Curitiba,Mobilidade Urbana,Prefeitura Curitiba,Entregue,Concluído,4/2012,7/2015,,"61,30","60,29",CAIXA,"57,20",0319.124-36
BRT Corredor Aeroporto – Rodoferroviária,Curitiba,Mobilidade Urbana,Governo Paraná,Entregue,Em Execução,4/2011,,,"65,20","50,00",CAIXA,"42,30",0319.636-21
Requalificação da Rodoferroviária,Curitiba,Mobilidade Urbana,Prefeitura Curitiba ,Entregue,Concluído,6/2012,11/2015,"36,80","47,80","46,60",CAIXA,"33,00",0319.126-56
Vias de Integração Radiais Metropolitanas,Curitiba,Mobilidade Urbana,Governo Paraná,Entregue,Concluído,12/2012,1/2017,"38,40","56,30","40,30",CAIXA,"27,60",0319.701-29
Requalificação do Corredor Marechal Floriano,Curitiba,Mobilidade Urbana,Prefeitura Curitiba,Entregue,Concluído,4/2012,3/2016,,"39,4","38,1",CAIXA,"19,6",0319.131-29
BRT Extensão da Linha Verde Sul e Obras Complementares da Requalificação do Corredor Marechal Floriano,Curitiba,Mobilidade Urbana,Prefeitura Curitiba ,Entregue,Concluído,3/2012,4/2016,"19,50","28,10","25,30",CAIXA,"17,30",0319.128-74
Requalificação do Corredor Marechal Floriano,Curitiba,Mobilidade Urbana,Governo Paraná,Entregue,Concluído,5/2011,8/2020,,"30,5",22,CAIXA,"9,95",0319.639-54
Sistema Integrado de Monitoramento,Curitiba,Mobilidade Urbana,Governo Paraná,Não Entregue,Concluído,7/2011,7/2018,,"20,00","20,50",CAIXA,"10,00",0319.637-35
Requalificação do Terminal Santa Cândida,Curitiba,Mobilidade Urbana,Prefeitura Curitiba ,Não Entregue,Concluído,5/2012,1/2019,"12,60","12,60","13,10",CAIXA,"11,80",0319.130-15
BRT Corredor Aeroporto – Rodoferroviária,Curitiba,Mobilidade Urbana,Prefeitura Curitiba e Governo Paraná,Alterado,Alterado,,,"110,30",,,CAIXA,,
Sistema Integrado de Monitoramento,Curitiba,Mobilidade Urbana,Prefeitura Curitiba e Governo Paraná,Alterado,Alterado,,,"71,80",,,CAIXA,,
BRT Avenida Candido de Abreu,Curitiba,Mobilidade Urbana,Prefeitura Curitiba,Abandonado,Abandonado,,,"5,20",,,CAIXA,,
Requalificação do Corredor Marechal Floriano,Curitiba,Mobilidade Urbana,Prefeitura Curitiba e Governo Paraná,Alterado,Alterado,,,"31,60",,,CAIXA,,
Corredor Metropolitano,Curitiba,Mobilidade Urbana,Governo Paraná,Abandonado,Abandonado,8/2012,,"137,60",,,CAIXA,,
VLT Parangaba / Mucuripe,Fortaleza,Mobilidade Urbana,Governo Ceará,Não Entregue,Em Execução,2/2012,,"265,50","307,50","434,90",CAIXA,"170,00",0319.197-16
Eixo Corredor Norte- Sul / BRT Raul Barbosa,Fortaleza,Mobilidade Urbana,Prefeitura Fortaleza,Entregue,Concluído,8/2012,6/2021,,"152,00","133,60",CAIXA,"123,90",0364.665-28
BRT Avenida Paulino Rocha,Fortaleza,Mobilidade Urbana,Prefeitura Fortaleza,Entregue,Paralisado,3/2012,,"34,60","65,90","39,20",CAIXA,"15,60",0319.149-27
Estações Padre Cícero e Montese (Juscelino Kubitschek),Fortaleza,Mobilidade Urbana,Governo Ceará,Não Entregue,Em Execução,6/2012,,"35,00","43,50","38,40",CAIXA,"33,20",0319.199-34
BRT Avenida Alberto Craveiro,Fortaleza,Mobilidade Urbana,Prefeitura Fortaleza,Entregue,Concluído,8/2012,5/2021,"33,70","41,40","27,70",CAIXA,"17,10",0319.148-13
Corredor Norte / Sul - Via Expressa,Fortaleza,Mobilidade Urbana,Prefeitura Fortaleza,Alterado,Alterado,,,"98,00",,,CAIXA,,
BRT Avenida Dedé Brasil,Fortaleza,Mobilidade Urbana,Prefeitura Fortaleza,Não Entregue,Abandonado,2/2012,,"41,60","41,60",,CAIXA,,0319.142-59
BRT Avenida Raul Barbosa,Fortaleza,Mobilidade Urbana,Prefeitura Fortaleza,Alterado,Alterado,,,"53,60",,,CAIXA,,
Monotrilho Norte / Centro,Manaus,Mobilidade Urbana,Governo Amazonas,Abandonado,Abandonado,,,"1.433,00",,,CAIXA,,319.509-85
BRT Eixo Leste / Centro,Manaus,Mobilidade Urbana,Governo Amazonas,Abandonado,Abandonado,,,"256,00",,,CAIXA,,319.510-12
Corredor Estruturante – Zona Norte / Estádio Arena das Dunas,Natal,Mobilidade Urbana,Prefeitura Natal,Entregue,Em Execução,5/2012,,,"370,90","370,90",CAIXA,"293,00",0319.162-00
Acesso ao Novo Aeroporto de São Gonçalo do Amarante,Natal,Mobilidade Urbana,Governo Rio Grande do Norte,Entregue,Concluído,4/2013,8/2020,,"73,10","88,00",CAIXA,"12,10",0385.342-66
Eixo 1: Integração Novo Aeroporto/Arena Dunas Setor Hoteleiro,Natal,Mobilidade Urbana,Prefeitura Natal e Governo Rio Grande do Norte,Alterado,Alterado,,,"413,20",,,CAIXA,,0319.162-00
Reestruturação da Av. Eng. Roberto Freire,Natal,Mobilidade Urbana,Governo Rio Grande do Norte,Abandonado,Abandonado,,,,,,CAIXA,,0385.339-19
Eixo 2: Implantação da Via Prudente de Morais,Natal,Mobilidade Urbana,Governo Rio Grande do Norte,Retirado,Retirado,,,"27,80",,,CAIXA,,0386.593-20
Corredor Avenida Tronco,Porto Alegre,Mobilidade Urbana,Prefeitura Porto Alegre,Retirado,Retirado,5/2012,,"78,50",,"162,70",CAIXA,"71,60",0319.214-25
Corredor 3a Perimetral,Porto Alegre,Mobilidade Urbana,Prefeitura Porto Alegre,Retirado,Retirado,7/2012,12/2021,"120,40",,"150,70",CAIXA,"72,10",0319.594-20
Prolongamento da Avenida Severo Dulius,Porto Alegre,Mobilidade Urbana,Prefeitura Porto Alegre,Retirado,Retirado,6/2013,,"24,00",,"98,50",CAIXA,"21,60",0323.005-70
3 Vias de Acesso ao Estádio Beira Rio,Porto Alegre,Mobilidade Urbana,Prefeitura Porto Alegre,Concluído,Concluído,5/2013,12/2013,,"8,00","80,40",,,
Corredor Padre Cacique - Av. Beira Rio,Porto Alegre,Mobilidade Urbana,Prefeitura Porto Alegre,Retirado,Retirado,3/2012,7/2019,"82,30",,"67,00",CAIXA,"44,00",0319.215-30
Corredor Voluntários da Pátria e Terminal de Ônibus São Pedro,Porto Alegre,Mobilidade Urbana,Prefeitura Porto Alegre,Retirado,Retirado,7/2012,11/2020,"30,00",,"29,10",CAIXA,"5,40",0322.981-77
BRT Protásio Alves e Terminal Manoel Elias,Porto Alegre,Mobilidade Urbana,Prefeitura Porto Alegre,Retirado,Retirado,3/2012,9/2018,"55,80",,"17,20",CAIXA,"11,70",0319.217-59
Complexo da Rodoviária,Porto Alegre,Mobilidade Urbana,Prefeitura Porto Alegre,Retirado,Retirado,8/2012,7/2019,"21,00",,"16,5",CAIXA,"10,00",0323.011-58
BRT Bento Gonçalves e Terminal Antônio Carvalho,Porto Alegre,Mobilidade Urbana,Prefeitura Porto Alegre,Retirado,Retirado,3/2012,12/2018,"24,20",,"11,60",CAIXA,"5,10",0323.012-62
Projeto de Pavimentação do Entorno do Estádio Beira-Rio,Porto Alegre,Mobilidade Urbana,Prefeitura Porto Alegre,Entregue,Concluído,,,,"8,70","8,80",,,
BRT João Pessoa e Terminal Azenha,Porto Alegre,Mobilidade Urbana,Prefeitura Porto Alegre,Retirado,Retirado,9/2012,10/2020,,,"2,50",CAIXA,"1,10",0396.431-70
Monitoramento dos 3 Corredores,Porto Alegre,Mobilidade Urbana,Prefeitura Porto Alegre,Retirado,Retirado,5/2012,12/2018,"14,40",,"0,01",CAIXA,"0,01",0319.216-44
BRT Assis Brasil,Porto Alegre,Mobilidade Urbana,Prefeitura Porto Alegre,Retirado,Retirado,,,"29,40",,,CAIXA,,0319.218-62
Corredor Via Mangue,Recife,Mobilidade Urbana,Prefeitura Recife,Entregue,Concluído,4/2011,3/2020,"433,20","430,40","419,50",CAIXA,"321,00",0319.315-44
BRT Norte/ Sul - Trecho Igarassu / Joana Bezerra / Centro do Recife,Recife,Mobilidade Urbana,Governo Pernambuco,Entregue,Paralisado,12/2011,,"180,90","197,70","195,40",CAIXA,"162,00",0319.914-95
BRT Leste/ Oeste – Ramal Cidade da Copa,Recife,Mobilidade Urbana,Governo Pernambuco,Entregue,Paralisado,10/2011,,"180,00","196,00","173,20",CAIXA,"99,00",0319.916-13
Corredor Caxangá (Leste/ Oeste),Recife,Mobilidade Urbana,Governo Pernambuco,Entregue,Concluído,12/2011,4/2019,"75,00","146,10","77,90",CAIXA,"62,20",0319.910-59
Obras do Viaduto da BR 408,Recife,Mobilidade Urbana,Governo Pernambuco,Concluído,Concluído,12/2011,3/2013,,"25,00","25,00",,,
Terminal Cosme e Damião,Recife,Mobilidade Urbana,Governo Pernambuco,Concluído,Concluído,11/2011,4/2014,"15,80","24,50","16,90",CAIXA,"14,50",0319.921-77
Obras da Estação de Metrô Cosme e Damião,Recife,Mobilidade Urbana,Governo Federal,Concluído,Concluído,10/2010,5/2013,,"7,40","7,40",,,
BRT do Corredor Transcarioca,Rio de Janeiro,Mobilidade Urbana,Prefeitura Rio de Janeiro,Entregue,Concluído,3/2011,10/2014,"1.610,00","1.969,60","1.969,60",BNDES,"1.179,00",10218801
Entorno do Estádio do Maracanã: Reformulação e Modernização da Estação Multimodal do Maracanã,Rio de Janeiro,Mobilidade Urbana,Governo Rio de Janeiro e Prefeitura Rio de Janeiro,Entregue,Concluído,4/2013,6/2014,,"178,10","177,90",,,
Entorno do Estádio do Maracanã Projeto de Reurbanização do Entorno do Estádio do Maracanã e Ligação com a Quinta da Boa Vista - 1a Fase,Rio de Janeiro,Mobilidade Urbana,Prefeitura Rio de Janeiro,Concluído,Concluído,7/2012,1/2014,,"109,00","109,50",,,
Obras de Microacessibilidade,Salvador,Mobilidade Urbana,Governo Bahia,Concluído,Concluído,5/2012,7/2013,,"12,40","12,40",,,
Obras de Rotas de Pedestres,Salvador,Mobilidade Urbana,Governo Bahia,Não Entregue,Abandonado,5/2012,6/2014,,"7,20",,,,
BRT do Corredor Estruturante / Acesso Norte,Salvador,Mobilidade Urbana,Governo Bahia,Abandonado,Abandonado,,,"570,30",,,CAIXA,,319.563-52
Intervenções Viárias no Entorno da Arena Itaquera,São Paulo,Mobilidade Urbana,Prefeitura de São Paulo e Governo São Paulo,Entregue,Concluído,9/2012,5/2014,,"610,50","486,40",,,
Monotrilho Linha 17 - Ouro,São Paulo,Mobilidade Urbana,Governo São Paulo,Retirado,Retirado,8/2011,,"2.860,00",,,CAIXA,,319.580-60
Terminal Marítimo de Mucuripe,Fortaleza,Portos,Governo Federal,Entregue,Concluído,3/2012,1/2015,"105,90","224,00","224,00",,,
Terminal Marítimo de Manaus,Manaus,Portos,Governo Federal,Entregue,Entregue,11/2013,3/2015,"89,40","71,10","71,30",,,
Terminal Marítimo de Natal,Natal,Portos,Governo Federal,Concluído,Concluído,4/2012,7/2014,"53,70","79,80","79,80",,,
Terminal Marítimo de Recife,Recife,Portos,Governo Federal,Concluído,Concluído,11/2011,10/2013,"21,80","28,10","20,70",,,
Terminal Marítimo do Rio de Janeiro,Rio de Janeiro,Portos,Governo Federal,Abandonado,Abandonado,,,"314,00",,,,,
Terminal Marítimo de Salvador,Salvador,Portos,Governo Federal,Entregue,Concluído,4/2012,3/2014,"36,00","40,70","40,70",,,
Terminal Marítimo de Santos,São Paulo,Portos,Governo Federal,Entregue,Concluído,9/2012,2/2016,"119,90","154,00","315,00",,,
Ações de Defesa - EXÉRCITO,Todas,Segurança,Governo Federal,Concluído,Concluído,,,,"245,5","188,4",,,
Ações de Defesa - AERONÁUTICA,Todas,Segurança,Governo Federal,Concluído,Concluído,,,,252,"176,4",,,
Ações de Defesa - MARINHA,Todas,Segurança,Governo Federal,Concluído,Concluído,,,,"195,3","150,4",,,
Ações de Defesa – ESTADO-MAIOR CONJUNTO DAS FORÇAS ARMADAS-MD,Todas,Segurança,Governo Federal,Concluído,Concluído,,,,"1,7","1,8",,,
Ações de Segurança Pública: Integração de Instituições e Sistemas,Todas,Segurança,Governo Federal,Concluído,Concluído,8/2012,,,"705,5","99,4",,,
Ações de Segurança Pública: Controle dos Pontos de Entrada no País,Todas,Segurança,Governo Federal,Concluído,Concluído,8/2012,,,"55,2",8,,,
Ações de Segurança Pública: Segurança do Evento,Todas,Segurança,Governo Federal,Concluído,Concluído,5/2012,,,"342,5","237,7",,,
Implantação da infraestrutura e disponibilização dos serviços de telecomunicações necessários ao atendimento das estruturas-chave da Copa e aos campos,Todas,Telecomunicações,Governo Federal,Entregue,Concluído,4/2012,6/2014,,"247,7","224,8",,,
"Fiscalização e monitoração de equipamentos e radiofrequência, gestão do uso do espectro e segurança de infraestruturas críticas de telecomunicações",Todas,Telecomunicações,Governo Federal,Entregue,Concluído,4/2012,6/2014,,"135,6","135,6",,,
Modernização da Infraestrutura e serviços e suporte às competições,Todas,Telecomunicações,Governo Federal,Alterado,Alterado,4/2012,,,,,,,
ProCopa Turismo,Todas,Turismo,Governo Federal e Setor Privado,Entregue,Concluído,,,700,2000,484,BNDES,1000,
Ações de Infraestrutura do Turismo,Todas,Turismo,Governo Federal e Prefeituras,Entregue,Concluído,,,,"172,3","69,1",,,
Ações de Infraestrutura do Turismo,Belo Horizonte,Turismo,Governo Federal e Prefeitura Belo Horizonte,Concluído,Concluído,,,,"8,3",,,,
